Title,Author,Average Rating,Top 3 Genres,First Published
The Iliad,Homer,3.92 avg rating,"Poetry, Fiction, Mythology",Unknown
East of Eden,John Steinbeck,4.42 avg rating,"Fiction, Classics, Historical Fiction",1952
The Zombie Room,R.D. Ronald,3.82 avg rating,"Thriller, Mystery, Fiction",2012
Where the Red Fern Grows,Wilson Rawls,4.12 avg rating,"Classics, Fiction, Young Adult",1961
Man’s Search for Meaning,Viktor E. Frankl,4.38 avg rating,"Nonfiction, Psychology, Philosophy",1946
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,4.19 avg rating,"Classics, Horror, Fiction",1843
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45 avg rating,"Fantasy, Fiction, Epic Fantasy",1996
"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.34 avg rating,"Young Adult, Fiction, Fantasy",2009
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89 avg rating,"Fiction, Mystery, Young Adult",2003
The Lorax,Dr. Seuss,4.35 avg rating,"Childrens, Picture Books, Fiction",1971
The Declaration of Independence / The Constitution of the United States,Founding Fathers,4.44 avg rating,"History, Nonfiction, Politics",1776
"Watership Down (Watership Down, #1)",Richard  Adams,4.09 avg rating,"Classics, Fiction, Fantasy",1972
Rebecca,Daphne du Maurier,4.25 avg rating,"Fiction, Mystery, Gothic",1938
The Bell Jar,Sylvia Plath,4.06 avg rating,"Fiction, Feminism, Mental Health",1963
"Dune (Dune, #1)",Frank Herbert,4.28 avg rating,"Science Fiction, Fantasy, Audiobook",1965
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16 avg rating,"Fiction, Fantasy, Childrens",1964
And Then There Were None,Agatha Christie,4.28 avg rating,"Mystery, Fiction, Thriller",1939
The Last Lecture,Randy Pausch,4.26 avg rating,"Nonfiction, Memoir, Biography",2008
The Lovely Bones,Alice Sebold,3.86 avg rating,"Fiction, Mystery, Young Adult",2002
The Velveteen Rabbit,Margery Williams Bianco,4.31 avg rating,"Classics, Childrens, Fiction",1922
The Fountainhead,Ayn Rand,3.89 avg rating,"Fiction, Classics, Philosophy",1943
Alice in Wonderland,Jane Carruth,4.03 avg rating,"Classics, Fantasy, Fiction",1865
The Call of the Wild,Jack London,3.91 avg rating,"Fiction, Adventure, Young Adult",1903
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,4.57 avg rating,"Fantasy, Fiction, Adventure",1955
Perfume: The Story of a Murderer,Patrick Süskind,4.04 avg rating,"Fiction, Classics, Historical Fiction",1985
Animal Farm / 1984,George Orwell,4.30 avg rating,"Classics, Fiction, Dystopia",1949
