Title,Author,Average Rating,Top 3 Genres,First Published
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93 avg rating,"History, Nonfiction, Science",2004
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4.01 avg rating,"Nonfiction, True Crime, History",2003
His Forefathers and Mick,Michael G. Kramer,4.38 avg rating,"Drama, Novels, Contemporary",2024
Not a Speck of Light: Stories,Laird Barron,4.12 avg rating,"Horror, Short Stories, Mystery",2024
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.01 avg rating,"Fantasy, Young Adult, Fiction",1997
"Storm and Fury (The Harbinger, #1)",Jennifer L. Armentrout,4.04 avg rating,"Fantasy, Romance, Young Adult",2019
"The Accidental Further Adventures of the Hundred-Year-Old Man (The Hundred-Year-Old Man, #2)",Jonas Jonasson,3.73 avg rating,"Fiction, Humor, Contemporary",2018
A Heartbreaking Work of Staggering Genius,Dave Eggers,3.69 avg rating,"Fiction, Contemporary, Literature",2000
The Sorrows of Young Werther,Johann Wolfgang von Goethe,3.69 avg rating,"Fiction, German Literature, Classics",1774
I Am the Messenger,Markus Zusak,4.03 avg rating,"Young Adult, Fiction, Mystery",2002
"Boy of Chaotic Making (Whimbrel House, #3)",Charlie N. Holmberg,4.29 avg rating,"Fantasy, Fiction, Romance",2024
Contact,Carl Sagan,4.15 avg rating,"Science Fiction, Fiction, Classics",1985
Someone Else's Bucket List,Amy T. Matthews,really liked it 4.00 avg rating,"Fiction, Romance, Contemporary",2023
Medea,Euripides,3.94 avg rating,"Classics, Plays, Mythology",Unknown
"Rivers of London (Rivers of London, #1)",Ben Aaronovitch,3.86 avg rating,"Fantasy, Urban Fantasy, Mystery",2011
Listen for the Lie,Amy Tintera,4.09 avg rating,"Mystery, Thriller, Audiobook",2024
Just Love Her,Raz Mihal,4.30 avg rating,"Contemporary, Self Help, Philosophy",2024
"Shift (Silo, #2)",Hugh Howey,4.13 avg rating,"Science Fiction, Fiction, Dystopia",2013
A Man Called Ove,Fredrik Backman,4.38 avg rating,"Fiction, Contemporary, Audiobook",2012
"If I Stay (If I Stay, #1)",Gayle Forman,3.91 avg rating,"Young Adult, Romance, Contemporary",2009
Twisted Ties (The Arrow Hart Academy #2),Hannah Haze,4.17 avg rating,"Fantasy, Reverse Harem, Magic",2024
Dubliners,James Joyce,3.84 avg rating,"Classics, Fiction, Short Stories",1914
"Savage Bonds (The Bonds That Tie, #2)",J. Bree,4.25 avg rating,"Fantasy, Reverse Harem, Romance",2021
Hitman Anders and the Meaning of It All,Jonas Jonasson,3.42 avg rating,"Fiction, Humor, Contemporary",2015
"Ral's Woman (Zorn Warriors, #1)",Laurann Dohner,3.82 avg rating,"Romance, Science Fiction, Aliens",2009
Complete Works of Arthur Conan Doyle,Arthur Conan Doyle,4.49 avg rating,"Classics, Fiction, Mystery",1928
"Spark of the Everflame (Kindred's Curse, #1)",Penn Cole,4.20 avg rating,"Fantasy, Romantasy, Romance",2023
"Pride and Prejudice, Mansfield Park, Persuasion",Jane Austen,4.51 avg rating,"Classics, Fiction, Romance",1976
The Innocent Man: Murder and Injustice in a Small Town,John Grisham,3.86 avg rating,"Nonfiction, True Crime, Crime",2006
Stardust,Neil Gaiman,4.10 avg rating,"Fantasy, Fiction, Young Adult",1999
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67 avg rating,"Fiction, BDSM, Contemporary",2011
"Eon (The Way, #1)",Greg Bear,3.88 avg rating,"Science Fiction, Fiction, Space Opera",1985
As I Lay Dying,William Faulkner,3.72 avg rating,"Classics, Fiction, Literature",1930
A Passage to India,E.M. Forster,3.68 avg rating,"Fiction, Historical Fiction, Classics",1924
Seabiscuit: An American Legend,Laura Hillenbrand,4.23 avg rating,"Nonfiction, History, Biography",1999
"My Roommate Is a Vampire (My Vampires, #1)",Jenna Levine,3.47 avg rating,"Fantasy, Vampires, Paranormal",2023
Starter Villain,John Scalzi,4.14 avg rating,"Science Fiction, Fiction, Fantasy",2023
"Every Heart a Doorway (Wayward Children, #1)",Seanan McGuire,3.81 avg rating,"Fantasy, Young Adult, Fiction",2016
The Ocean at the End of the Lane,Neil Gaiman,4.02 avg rating,"Fantasy, Fiction, Magical Realism",2013
"The Selection (The Selection, #1)",Kiera Cass,4.07 avg rating,"Romance, Young Adult, Dystopia",2012
Black Fire,William Kely McClung,4.30 avg rating,"Thriller, Fiction, Mystery",2023
"The Undertaking of Hart and Mercy (Hart and Mercy, #1)",Megan Bannen,4.07 avg rating,"Fantasy, Romance, Fiction",2022
Quantum Energetics and Spirituality Volume 1: Aligning with Universal Consciousness,Kenneth Schmitt,4.38 avg rating,"Novels, Contemporary, Drama",2021
"Uglies (Uglies, #1)",Scott Westerfeld,3.85 avg rating,"Young Adult, Dystopia, Science Fiction",2005
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31 avg rating,"Fantasy, Young Adult, Romance",2010
"The Alienist (Dr. Laszlo Kreizler, #1)",Caleb Carr,4.06 avg rating,"Historical Fiction, Mystery, Fiction",1994
Under the Whispering Door,T.J. Klune,4.13 avg rating,"Fantasy, Fiction, Romance",2021
Galatea,Madeline Miller,3.93 avg rating,"Mythology, Fantasy, Short Stories",2013
"The Somerset Slayings (DI Haig Crime Thrillers, #1)",David J. Gatward,4.34 avg rating,"Police, Crime, Young Adult",2024
Ficciones,Jorge Luis Borges,4.41 avg rating,"Fiction, Short Stories, Magical Realism",1944
The Sixth Borough,Alan    Bradley,4.43 avg rating,"Novels, Contemporary, Drama",2024
Whisk Of Dust: Too Unseen Distance,Sherman Kennon,4.37 avg rating,"Drama, Contemporary, Novels",2024
Adoption Stories,Janine Myung Ja,4.34 avg rating,"Adoption, Nonfiction, Parenting",2021
The Education of Little Tree,Forrest Carter,4.14 avg rating,"Fiction, Historical Fiction, Young Adult",1976
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,4.40 avg rating,"Historical Fiction, Young Adult, Fiction",2018
The Satsuma Complex,Bob Mortimer,3.68 avg rating,"Fiction, Mystery, Audiobook",2022
Mind's Eye,Douglas E. Richards,4.07 avg rating,"Science Fiction, Fiction, Thriller",2014
Games of Command,Linnea Sinclair,4.04 avg rating,"Romance, Science Fiction, Science Fiction Romance",2002
Wraith (The Convergence War Book 1),M.R. Forbes,4.28 avg rating,"Science Fiction, Speculative Fiction, Space Opera",2024
A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,4.16 avg rating,"Spirituality, Nonfiction, Self Help",2005
"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,4.16 avg rating,"Fiction, Historical Fiction, Westerns",1985
"Susan, You're The Chosen One (Welcome To Midlife Magic, #1)",Lauretta Hignett,4.32 avg rating,"Fantasy, Fiction, Teen",2024
The Demon-Haunted World: Science as a Candle in the Dark,Carl Sagan,4.29 avg rating,"Science, Nonfiction, Philosophy",1995
"The MacKinnon's Bride (The Highland Brides, #1)",Tanya Anne Crosby,3.99 avg rating,"Romance, Historical Romance, Historical",1996
"The Worst Ship in the Fleet (Dumb Luck and Dead Heroes, #1)",Skyler Ramirez,4.05 avg rating,"Science Fiction, Fiction, Space Opera",2023
"The Long Way to a Small, Angry Planet (Wayfarers, #1)",Becky  Chambers,4.18 avg rating,"Science Fiction, Fiction, LGBT",2014
"The Last Unicorn (The Last Unicorn, #1)",Peter S. Beagle,4.16 avg rating,"Fantasy, Fiction, Young Adult",1968
From Manchester to the Arctic,Sheena  Billett,4.30 avg rating,"Novels, Young Adult, Action",2023
"The Empress: (The Emperor, The Son and The Thief, #4)",Robert         Reid,4.41 avg rating,"Novels, Contemporary, Drama",2024
"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,4.01 avg rating,"Fiction, Science Fiction, Dystopia",2003
Le Morte d'Arthur: King Arthur and the Legends of the Round Table,Thomas Malory,3.92 avg rating,"Classics, Fantasy, Fiction",1485
And the Mountains Echoed,Khaled Hosseini,4.08 avg rating,"Fiction, Historical Fiction, Contemporary",2012
Just Once,Karen Kingsbury,4.41 avg rating,"Historical Fiction, Romance, Fiction",2023
Cutting for Stone,Abraham   Verghese,4.33 avg rating,"Fiction, Historical Fiction, Africa",2009
"Crank Palace (The Maze Runner, #3.5)",James Dashner,4.09 avg rating,"Dystopia, Young Adult, Science Fiction",2020
"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,really liked it 4.00 avg rating,"Fantasy, Fiction, Humor",1983
Little Women / Little Men / Jo's Boys,Louisa May Alcott,4.36 avg rating,"Classics, Fiction, Literature",1868
A Million Little Pieces,James Frey,3.69 avg rating,"Fiction, Contemporary, Psychology",2003
James,Percival Everett,4.51 avg rating,"Fiction, Historical Fiction, Audiobook",2024
"Small Gods (Discworld, #13)",Terry Pratchett,4.32 avg rating,"Fantasy, Fiction, Humor",1992
The Patient's Secret,Loreth Anne White,4.27 avg rating,"Thriller, Mystery, Mystery Thriller",2022
All the President’s Men,Carl Bernstein,4.18 avg rating,"History, Nonfiction, Politics",1974
The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,4.28 avg rating,"Nonfiction, Politics, Economics",2007
The Dispossessed: An Ambiguous Utopia,Ursula K. Le Guin,4.25 avg rating,"Science Fiction, Fiction, Fantasy",1974
The Nightingale,Kristin Hannah,4.64 avg rating,"Historical Fiction, Fiction, Historical",2015
"Rich Dad, Poor Dad",Robert T. Kiyosaki,4.11 avg rating,"Finance, Business, Nonfiction",1997
"Mickey7 (Mickey7, #1)",Edward Ashton,3.78 avg rating,"Science Fiction, Fiction, Audiobook",2022
"Girl, Interrupted",Susanna Kaysen,3.94 avg rating,"Nonfiction, Memoir, Mental Health",1993
The Virgin Suicides,Jeffrey Eugenides,3.79 avg rating,"Fiction, Young Adult, Literary Fiction",1993
"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,4.11 avg rating,"Fiction, Thriller, Military Fiction",1984
If on a Winter’s Night a Traveler,Italo Calvino,4.02 avg rating,"Fiction, Classics, Italian Literature",1979
The Prophet and the Idiot,Jonas Jonasson,3.64 avg rating,"Fiction, Humor, Comedy",2022
"The Lost Symbol (Robert Langdon, #3)",Dan    Brown,3.76 avg rating,"Fiction, Mystery, Thriller",2009
"Light Bringer (Red Rising Saga, #6)",Pierce Brown,4.75 avg rating,"Science Fiction, Fantasy, Fiction",2023
Down and Out in Paris and London,George Orwell,4.09 avg rating,"Nonfiction, Classics, Memoir",1933
A Town Like Alice,Nevil Shute,4.15 avg rating,"Fiction, Historical Fiction, Classics",1950
"Columbus Day (Expeditionary Force, #1)",Craig Alanson,4.26 avg rating,"Science Fiction, Audiobook, Fiction",2016
"On Death and Dying: What the Dying Have to Teach Doctors, Nurses, Clergy and Their Own Families",Elisabeth Kübler-Ross,4.16 avg rating,"Psychology, Nonfiction, Death",1969
The Fall,Albert Camus,4.04 avg rating,"Fiction, Philosophy, France",1956
Termination Shock,Neal Stephenson,3.84 avg rating,"Science Fiction, Fiction, Audiobook",2021
"Riley Thorn and the Dead Guy Next Door (Riley Thorn, #1)",Lucy Score,4.17 avg rating,"Romance, Mystery, Paranormal",2020
Brideshead Revisited,Evelyn Waugh,really liked it 4.00 avg rating,"Fiction, Historical Fiction, Classics",1945
"Left Behind (Left Behind, #1)",Tim LaHaye,3.86 avg rating,"Fiction, Christian, Christian Fiction",1995
"The Cheat Code (Wisdom Revolution, #3)",Misba,4.74 avg rating,"Fantasy, Science Fiction, Science Fiction Fantasy",2023
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,4.27 avg rating,"Fantasy, Young Adult, Romance",2009
"Wayside School Is Falling Down (Wayside School, #2)",Louis Sachar,4.17 avg rating,"Childrens, Fiction, Humor",1989
Long Walk to Freedom,Nelson Mandela,4.36 avg rating,"Biography, Nonfiction, History",1994
High Fidelity,Nick Hornby,3.90 avg rating,"Fiction, Music, Contemporary",1995
"Never Fall for a Dragon (Mate Mountain, #1)",Lola Glass,3.94 avg rating,"Fantasy, Romance, Dragons",2024
The Day the Crayons Quit,Drew Daywalt,4.42 avg rating,"Picture Books, Childrens, Fiction",2013
The Sacred Well Murders (Mary Wandwalker #1),Susan  Rowland,4.29 avg rating,"Mystery, Fiction, Contemporary",2022
Eleanor & Park,Rainbow Rowell,3.93 avg rating,"Young Adult, Romance, Fiction",2012
Columbine,Dave Cullen,4.29 avg rating,"Nonfiction, True Crime, History",2009
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.67 avg rating,"Fantasy, Fiction, Epic Fantasy",2010
"Risen (The Boy in the Iron Box, #4)",Guillermo del Toro,4.03 avg rating,"Horror, Fiction, Short Stories",2024
The Pearl,John Steinbeck,3.55 avg rating,"Fiction, Literature, School",1947
"Unwind (Unwind, #1)",Neal Shusterman,4.17 avg rating,"Young Adult, Dystopia, Science Fiction",2007
Steve Jobs,Walter Isaacson,4.15 avg rating,"Biography, Nonfiction, Business",2011
The Artifact,David Collins,4.28 avg rating,"Science Fiction, Science Fiction Fantasy, Speculative Fiction",2024
"Engines of Oblivion (The Memory War, #2)",Karen Osborne,4.02 avg rating,"Science Fiction, Young Adult, Space",2021
"I, Claudius (Claudius, #1)",Robert Graves,4.25 avg rating,"Historical Fiction, Fiction, Classics",1934
Lust for Life,Irving Stone,4.27 avg rating,"Historical Fiction, Art, Fiction",1934
Zorba the Greek,Nikos Kazantzakis,4.04 avg rating,"Fiction, Classics, Philosophy",1946
"Trials of Conviction (The Firebird Chronicles, #5)",T.A. White,4.52 avg rating,"Science Fiction, Romance, Fantasy",2023
Found,Erin Kinsley,4.11 avg rating,"Mystery, Thriller, Fiction",2019
"Matching Configurations (Quantum Roots, #3)",Kyle Keyes,4.30 avg rating,"Fiction, Novels, Science Fiction",2019
Momo,Michael Ende,4.34 avg rating,"Fantasy, Fiction, Classics",1973
The Bad Seed (The Food Group #1),Jory John,4.33 avg rating,"Picture Books, Childrens, Fiction",2017
Coraline,Neil Gaiman,4.13 avg rating,"Fantasy, Horror, Fiction",2002
The Bhagavad Gita,Krishna-Dwaipayana Vyasa,4.19 avg rating,"Philosophy, Religion, Classics",Unknown
The Orphanage By The Lake,Daniel G.  Miller,3.95 avg rating,"Thriller, Mystery, Mystery Thriller",2024
"Animal, Vegetable, Miracle: A Year of Food Life",Barbara Kingsolver,4.05 avg rating,"Nonfiction, Food, Memoir",2007
The Joy of Cooking,Irma S. Rombauer,4.13 avg rating,"Cookbooks, Cooking, Food",1931
Winter Garden,Kristin Hannah,4.28 avg rating,"Historical Fiction, Fiction, Historical",2010
Becoming,Michelle Obama,4.44 avg rating,"Nonfiction, Memoir, Biography",2018
The Invisible Boy,Trudy Ludwig,4.43 avg rating,"Picture Books, Childrens, Friendship",2013
The Ocean at the End of the Lane,Neil Gaiman,4.02 avg rating,"Fantasy, Fiction, Magical Realism",2013
On Destiny,Aileen Erin,4.20 avg rating,"Science Fiction Fantasy, Science Fiction, Fiction",2022
We,Yevgeny Zamyatin,3.88 avg rating,"Fiction, Science Fiction, Classics",1924
"A Witch's Guide to Fake Dating a Demon (Glimmer Falls, #1)",Sarah  Hawley,3.64 avg rating,"Romance, Fantasy, Paranormal",2023
Papillon,Henri Charrière,4.23 avg rating,"Nonfiction, Biography, Classics",1969
The Tin Drum,Günter Grass,3.95 avg rating,"Fiction, Classics, German Literature",1959
"Romancing Mister Bridgerton (Bridgertons, #4)",Julia Quinn,3.88 avg rating,"Historical Romance, Historical Fiction, Historical",2002
"Hunt the Stars (Starlight's Shadow, #1)",Jessie Mihalik,4.03 avg rating,"Romance, Science Fiction, Fantasy",2022
The Echo of Old Books,Barbara  Davis,4.27 avg rating,"Historical Fiction, Fiction, Romance",2023
Service Model,Adrian Tchaikovsky,4.05 avg rating,"Science Fiction, Fiction, Audiobook",2024
Jonathan Strange & Mr Norrell,Susanna Clarke,3.87 avg rating,"Fantasy, Fiction, Historical Fiction",2004
"Ice Planet Barbarians (Ice Planet Barbarians, #1)",Ruby Dixon,3.63 avg rating,"Romance, Science Fiction, Fantasy",2015
John Adams,David McCullough,4.08 avg rating,"History, Biography, Nonfiction",2001
Les Fleurs du Mal,Charles Baudelaire,4.20 avg rating,"France, Poetry, French Literature",1857
The Runaway Bunny,Margaret Wise Brown,4.09 avg rating,"Picture Books, Childrens, Fiction",1942
The Hobbit,Chuck Dixon,4.51 avg rating,"Fantasy, Graphic Novels, Classics",1989
Secrets of the Realm,Bev Stout,3.97 avg rating,"Historical Fiction, Young Adult, Historical",2013
Burned Out,Dean Mafako,4.30 avg rating,"Fiction, Medicine, Medical",2023
The Night Before Christmas,Clement Clarke Moore,4.40 avg rating,"Christmas, Childrens, Picture Books",1823
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,4.17 avg rating,"Fantasy, Fiction, Epic Fantasy",2005
Little Blue Truck,Alice Schertle,4.51 avg rating,"Picture Books, Childrens, Fiction",2008
"Compulsory (The Murderbot Diaries, #0.5)",Martha Wells,4.32 avg rating,"Science Fiction, Short Stories, Fiction",2018
The Man in the High Castle,Philip K. Dick,3.59 avg rating,"Science Fiction, Fiction, Classics",1962
Black Hawk Down: A Story of Modern War,Mark Bowden,4.30 avg rating,"History, Nonfiction, Military Fiction",1999
"Dark Horse (Class 5, #1)",Michelle Diener,4.09 avg rating,"Science Fiction, Romance, Aliens",2015
"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,4.05 avg rating,"Fiction, Thriller, Mystery",1980
Not Till We Are Lost (Bobiverse #5),Dennis E. Taylor,4.30 avg rating,"Science Fiction, Audiobook, Fiction",2024
The Magus,John Fowles,4.05 avg rating,"Fiction, Fantasy, Mystery",1965
"Dark Island (Orkney Mysteries, #1)",Daniel Aubrey,4.13 avg rating,"Mystery, Crime, Thriller",2024
"Starsight (Skyward, #2)",Brandon Sanderson,4.35 avg rating,"Science Fiction, Young Adult, Fantasy",2019
"Quantum Roots (Quantum Roots, #1)",Kyle Keyes,4.27 avg rating,"Fiction, Science Fiction, Contemporary",2012
"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,4.36 avg rating,"Religion, Nonfiction, Lds",1950
Soul Cure: How to Heal Your Pain and Discover Your Purpose,Gregory Dickow,3.55 avg rating,"Self Help, Nonfiction, Personal Development",2022
Antarctica Station,A.G. Riddle,3.99 avg rating,"Science Fiction, Fiction, Adventure",2024
His Forefathers and Mick 2nd Edition,Michael G. Kramer,4.36 avg rating,"Drama, Novels, Contemporary",2024
Move to Millions: The Proven Framework to Become a Million Dollar CEO with Grace & Ease Instead of Hustle & Grind,Darnyelle Jervey Harmon,4.29 avg rating,"Self Help, Personal Development, Nonfiction",2023
Nineteen Minutes,Jodi Picoult,4.17 avg rating,"Fiction, Contemporary, Drama",2007
Livesuit (The Captive’s War #1.5),James S.A. Corey,4.34 avg rating,"Science Fiction, Fiction, Audiobook",2024
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Oliver Sacks,4.05 avg rating,"Nonfiction, Psychology, Science",1985
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,4.27 avg rating,"Science Fiction, Fiction, Fantasy",1989
"Half a Soul (Regency Faerie Tales, #1)",Olivia Atwater,4.07 avg rating,"Fantasy, Romance, Historical Fiction",2020
Educated,Tara Westover,4.47 avg rating,"Nonfiction, Memoir, Biography",2018
Motive Black: A novel (Motive Black Series Book 1),Adam Scott Huerta,4.34 avg rating,"Novels, Drama, Contemporary",2024
The Vagina Monologues,V (formerly Eve Ensler),3.87 avg rating,"Feminism, Nonfiction, Plays",1996
Where the Crawdads Sing,Delia Owens,4.38 avg rating,"Fiction, Historical Fiction, Mystery",2018
"Polaris Rising (Consortium Rebellion, #1)",Jessie Mihalik,3.92 avg rating,"Romance, Science Fiction, Space Opera",2019
"Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2)",Holly  Jackson,4.27 avg rating,"Mystery, Young Adult, Thriller",2020
"The Most Magnificent Thing (Most Magnificent, 1)",Ashley Spires,4.29 avg rating,"Picture Books, Childrens, Fiction",2014
The Going To Bed Book,Sandra Boynton,4.24 avg rating,"Picture Books, Childrens, Fiction",1982
The Pink Cadillac,Rebecca Harlem,4.47 avg rating,"Contemporary, Novels, Drama",2024
The Dot,Peter H. Reynolds,4.26 avg rating,"Picture Books, Art, Childrens",2003
One More Life to Live (Edward and the Bricklayer Book 1),Steven Decker,4.38 avg rating,"Novels, Contemporary, Drama",2024
"AI Doctor: The Rise of Artificial Intelligence in Healthcare - A Guide for Users, Buyers, Builders, and Investors",Ronald M. Razmi,4.27 avg rating,"Nonfiction, How To, Education",2024
For the Love of Armin,Michael G. Kramer,4.30 avg rating,"Fiction, Adventure, Historical Fiction",2015
I Am Legend and Other Stories,Richard Matheson,really liked it 4.00 avg rating,"Horror, Fiction, Science Fiction",1954
"The Asset (Lance Spector, #1)",Saul Herzog,4.29 avg rating,"Thriller, Fiction, Espionage",2020
My Big Fat Zombie Goldfish,Mo O'Hara,3.89 avg rating,"Childrens, Fiction, Humor",2013
The Curious Secrets of Yesterday,Namrata  Patel,3.99 avg rating,"Fiction, Contemporary, Romance",2024
Revolutionary Road,Richard Yates,3.93 avg rating,"Fiction, Classics, Historical Fiction",1961
The Death of Ivan Ilych,Leo Tolstoy,4.13 avg rating,"Classics, Fiction, Russia",1886
An Accidental Goddess,Linnea Sinclair,4.03 avg rating,"Romance, Science Fiction, Science Fiction Romance",2002
The House of Mirth,Edith Wharton,3.97 avg rating,"Fiction, Classics, Historical Fiction",1905
Paradox Effect: Time Travel and Purified DNA Merge to Halt the Collapse of Human Existence,Gabriel F.W. Koch,4.33 avg rating,"Fiction, Science Fiction, Time Travel",2015
Bleak House,Charles Dickens,4.02 avg rating,"Fiction, Classics, Literature",1853
The Cases Nobody Wanted (O'Shaughnessy Investigations Inc. Mystery Series Book 1),A.G. Russo,4.36 avg rating,"Contemporary, Drama, Novels",2023
The World Without Us,Alan Weisman,3.81 avg rating,"Nonfiction, Science, Environment",2007
The Tale of Despereaux,Kate DiCamillo,4.07 avg rating,"Fantasy, Fiction, Childrens",2003
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.10 avg rating,"Business, Leadership, Nonfiction",2009
The Hours,Michael Cunningham,3.95 avg rating,"Fiction, Historical Fiction, Contemporary",1998
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.03 avg rating,"Nonfiction, Christian, Religion",2010
Geek Love,Katherine Dunn,3.95 avg rating,"Fiction, Horror, Fantasy",1989
Magenta,John Payton Foden,4.26 avg rating,"Historical Fiction, Fiction, War",2021
The Southern Lawyer (Joe Hennessy Legal Thriller #1),Peter O'Mahoney,4.22 avg rating,"Mystery, Fiction, Thriller",2022
"A Canticle for Leibowitz (St. Leibowitz, #1)",Walter M. Miller Jr.,3.99 avg rating,"Science Fiction, Fiction, Post Apocalyptic",1959
"Executive Orders (Jack Ryan, #8)",Tom Clancy,4.11 avg rating,"Fiction, Thriller, Military Fiction",1996
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,4.49 avg rating,"Fantasy, Fiction, High Fantasy",2006
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07 avg rating,"Fantasy, Young Adult, Romance",2008
"The Time Trilogy (Time Quintet, #1-3)",Madeleine L'Engle,4.31 avg rating,"Fantasy, Fiction, Classics",1963
