,Title,Author,Average Rating,First Published,Top 3 Genres,Cluster
163,Oliver Twist,Charles Dickens,3.88,1838.0,"Fiction, Classics, Historical Fiction",2
164,The Secret Life of Bees,Sue Monk Kidd,4.1,2001.0,"Fiction, Historical Fiction, Classics",2
165,The Master and Margarita,Mikhail Bulgakov,4.29,1967.0,"Fiction, Russia, Fantasy",2
166,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.1,2010.0,"Young Adult, Dystopia, Fiction",2
167,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.16,1996.0,"Romance, Fiction, Chick Lit",2
168,The Complete Sherlock Holmes,Arthur Conan Doyle,4.5,1915.0,"Classics, Mystery, Fiction",2
169,In Cold Blood,Truman Capote,4.09,1966.0,"Nonfiction, True Crime, Crime",2
170,Gone Girl,Gillian Flynn,4.14,2012.0,"Fiction, Mystery, Thriller",2
171,"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.3,2001.0,"Fiction, Historical Fiction, Mystery",2
172,Heart of Darkness,Joseph Conrad,3.43,1899.0,"Fiction, Classics, Literature",2
173,The Crucible,Arthur Miller,3.61,1953.0,"Classics, Plays, Fiction",2
174,Love in the Time of Cholera,Gabriel García Márquez,3.94,1985.0,"Fiction, Historical Fiction, Magical Realism",2
175,The Red Tent,Anita Diamant,4.2,1997.0,"Historical Fiction, Fiction, Historical",2
176,The Girl on the Train,Paula Hawkins,3.96,2015.0,"Fiction, Mystery, Thriller",2
177,The Glass Castle,Jeannette Walls,4.32,2005.0,"Nonfiction, Memoir, Biography",0
178,The Gift of the Magi,O. Henry,4.11,1905.0,"Classics, Short Stories, Fiction",2
180,"Eat, Pray, Love",Elizabeth Gilbert,3.64,2006.0,"Nonfiction, Memoir, Travel",0
181,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,1976.0,"Horror, Fantasy, Fiction",2
182,The Unbearable Lightness of Being,Milan Kundera,4.11,1984.0,"Fiction, Philosophy, Literature",2
183,On the Road,Jack Kerouac,3.61,1957.0,"Fiction, Travel, Literature",2
184,The Canterbury Tales,Geoffrey Chaucer,3.52,1400.0,"Fiction, Poetry, Classics",2
185,"Red Dragon (Hannibal Lecter, #1)",Thomas  Harris,4.07,1981.0,"Horror, Fiction, Thriller",2
186,Dark Places,Gillian Flynn,3.95,2009.0,"Mystery, Fiction, Thriller",2
188,Mystic River,Dennis Lehane,4.17,2001.0,"Mystery, Fiction, Thriller",2
189,Walden,Henry David Thoreau,3.78,1854.0,"Philosophy, Nonfiction, Nature",2
190,The Screwtape Letters,C.S. Lewis,4.27,1942.0,"Fiction, Christian, Classics",2
191,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,3.83,1886.0,"Horror, Gothic, Mystery",2
192,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,1954.0,"Fantasy, Fiction, Classics",2
193,Fight Club,Chuck Palahniuk,4.18,1996.0,"Fiction, Classics, Thriller",2
194,"The Godfather (The Godfather, #1)",Mario Puzo,4.39,1969.0,"Fiction, Classics, Crime",2
195,Never Lie,Freida McFadden,4.09,2022.0,"Thriller, Mystery, Audiobook",2
196,Robinson Crusoe,Daniel Defoe,3.68,1719.0,"Fiction, Classics, Adventure",2
197,Lock Every Door,Riley Sager,3.89,2019.0,"Thriller, Mystery, Mystery Thriller",2
198,None of This Is True,Lisa Jewell,4.1,2023.0,"Thriller, Mystery, Audiobook",2
199,Gulliver’s Travels,Jonathan Swift,3.59,1726.0,"Classics, Fiction, Fantasy",2
200,"The Woman in Cabin 10 (Lo Blacklock, #1)",Ruth Ware,3.73,2016.0,"Mystery, Thriller, Fiction",2
201,The Paris Apartment,Lucy Foley,3.65,2022.0,"Mystery, Thriller, Fiction",2
202,The Woman in the Window,A.J. Finn,3.95,2018.0,"Thriller, Mystery, Fiction",2
203,Big Little Lies,Liane Moriarty,4.31,2014.0,"Fiction, Mystery, Contemporary",2
204,Emma,Jane Austen,4.05,1815.0,"Fiction, Historical Fiction, Literature",2
205,The Origin of Species,Charles Darwin,4.01,1859.0,"Science, Nonfiction, Classics",2
206,Invisible Man,Ralph Ellison,3.92,1952.0,"Fiction, Classics, Literature",2
207,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.21,2023.0,"Thriller, Mystery, Fiction",2
208,Sophie’s World,Jostein Gaarder,3.97,1991.0,"Fiction, Classics, Young Adult",2
209,The Trial,Franz Kafka,3.95,1925.0,"Fiction, Philosophy, Literature",2
210,The Prince,Niccolò Machiavelli,3.84,1513.0,"Philosophy, Nonfiction, Politics",0
211,"The Family Upstairs (The Family Upstairs, #1)",Lisa Jewell,3.96,2019.0,"Thriller, Mystery, Fiction",2
212,The Complete Grimm's Fairy Tales,Jacob Grimm,4.24,1812.0,"Classics, Fantasy, Fiction",2
213,Before I Go to Sleep,S.J. Watson,3.9,2011.0,"Thriller, Fiction, Mystery",2
214,Candide,Voltaire,3.76,1759.0,"Fiction, Philosophy, France",2
215,Watchmen,Alan             Moore,4.38,1987.0,"Graphic Novels, Fiction, Science Fiction",2
216,The Time Machine,H.G. Wells,3.9,1895.0,"Science Fiction, Fiction, Classics",2
217,Pretty Girls,Karin Slaughter,4.02,2015.0,"Thriller, Mystery, Fiction",2
218,"You (You, #1)",Caroline Kepnes,3.96,2014.0,"Thriller, Fiction, Mystery",2
219,Shutter Island,Dennis Lehane,4.13,2003.0,"Mystery, Fiction, Thriller",2
220,Roots: The Saga of an American Family,Alex Haley,4.44,1976.0,"Historical Fiction, Fiction, Classics",2
221,No Exit,Taylor  Adams,3.99,2017.0,"Thriller, Mystery Thriller, Mystery",2
222,"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.97,1987.0,"Fiction, Classics, Historical Fiction",2
223,The Couple Next Door,Shari Lapena,3.8,2016.0,"Thriller, Mystery, Fiction",2
224,"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,4.2,1997.0,"Mystery, Thriller, Fiction",2
225,The Only One Left,Riley Sager,4.14,2023.0,"Thriller, Mystery, Mystery Thriller",2
226,The Last Thing He Told Me,Laura Dave,3.83,2021.0,"Mystery, Fiction, Thriller",2
227,Go Ask Alice,Beatrice Sparks,3.74,1971.0,"Young Adult, Fiction, Classics",2
228,Atonement,Ian McEwan,3.95,2001.0,"Fiction, Historical Fiction, Classics",2
229,Final Girls,Riley Sager,3.82,2017.0,"Thriller, Horror, Mystery",2
230,Then She Was Gone,Lisa Jewell,4.05,2017.0,"Thriller, Mystery, Fiction",2
231,The Things They Carried,Tim O'Brien,4.14,1990.0,"Fiction, Historical Fiction, Classics",2
232,Behind Closed Doors,B.A. Paris,3.97,2016.0,"Thriller, Fiction, Mystery",2
233,My Sister’s Keeper,Jodi Picoult,4.1,2004.0,"Fiction, Chick Lit, Young Adult",2
234,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,4.31,2005.0,"Fantasy, Young Adult, Mythology",2
235,Home Before Dark,Riley Sager,4.06,2020.0,"Horror, Thriller, Mystery",2
236,Tuck Everlasting,Natalie Babbitt,3.9,1975.0,"Fantasy, Classics, Young Adult",2
237,"Divergent (Divergent, #1)",Veronica Roth,4.14,2011.0,"Young Adult, Dystopia, Fantasy",2
